,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
57,{'Boiled Rice'},{'Fried Vegetable'},0.9805680119581465,0.03139013452914798,0.03139013452914798,0.03201219512195122,1.0198170731707317,0.0006099727188025768,1.0006426326753999
58,{'Fried Pork'},{'Boiled Rice'},0.026905829596412557,0.9805680119581465,0.026905829596412557,1.0,1.0198170731707317,0.0005228337589736377,inf
59,{'Boiled Rice'},{'Fried Pork'},0.9805680119581465,0.026905829596412557,0.026905829596412557,0.027439024390243906,1.019817073170732,0.0005228337589736377,1.000548237907137
60,"{'Fried Egg', 'Milk', 'Water'}",{'Boiled Rice'},0.02391629297458894,0.9805680119581465,0.02391629297458894,1.0,1.0198170731707317,0.00046474111908767837,inf
61,{'Boiled Rice'},"{'Fried Egg', 'Milk', 'Water'}",0.9805680119581465,0.02391629297458894,0.02391629297458894,0.024390243902439025,1.0198170731707317,0.00046474111908767837,1.0004857997010463
62,{'Boiled Rice'},"{'Fried Processed Meat', 'Milk'}",0.9805680119581465,0.02242152466367713,0.02242152466367713,0.022865853658536585,1.0198170731707317,0.0004356947991446987,1.0004547267092478
63,"{'Fried Processed Meat', 'Milk'}",{'Boiled Rice'},0.02242152466367713,0.9805680119581465,0.02242152466367713,1.0,1.0198170731707317,0.0004356947991446987,inf
64,{'Boiled Chicken'},{'Boiled Rice'},0.01943198804185351,0.9805680119581465,0.01943198804185351,1.0,1.0198170731707317,0.00037760215925873933,inf
65,{'Boiled Rice'},{'Boiled Chicken'},0.9805680119581465,0.01943198804185351,0.01943198804185351,0.019817073170731708,1.019817073170732,0.00037760215925873933,1.0003928706758072
66,{'Boiled Pork'},{'Boiled Rice'},0.01943198804185351,0.9805680119581465,0.01943198804185351,1.0,1.0198170731707317,0.00037760215925873933,inf
67,{'Boiled Rice'},{'Boiled Pork'},0.9805680119581465,0.01943198804185351,0.01943198804185351,0.019817073170731708,1.019817073170732,0.00037760215925873933,1.0003928706758072
68,{'Water'},{'Fried Vegetable'},0.4977578475336323,0.03139013452914798,0.017937219730941704,0.036036036036036036,1.148005148005148,0.002312533933921857,1.0048195800678932
69,{'Fried Vegetable'},{'Water'},0.03139013452914798,0.4977578475336323,0.017937219730941704,0.5714285714285714,1.1480051480051479,0.002312533933921857,1.171898355754858
70,"{'Boiled Rice', 'Water'}",{'Fried Vegetable'},0.484304932735426,0.03139013452914798,0.017937219730941704,0.037037037037037035,1.1798941798941798,0.0027348227392467173,1.0058640910658847
71,{'Boiled Egg'},{'Milk'},0.06278026905829596,0.23019431988041852,0.017937219730941704,0.2857142857142857,1.2411873840445269,0.003485558393157581,1.0777279521674141
72,{'Milk'},{'Boiled Egg'},0.23019431988041852,0.06278026905829596,0.017937219730941704,0.07792207792207792,1.2411873840445269,0.003485558393157581,1.0164213983452284
73,{'Boiled Rice'},"{'Water', 'Fried Vegetable'}",0.9805680119581465,0.017937219730941704,0.017937219730941704,0.018292682926829267,1.0198170731707317,0.00034855583931575965,1.000362086733699
74,{'Water'},"{'Boiled Rice', 'Fried Vegetable'}",0.4977578475336323,0.03139013452914798,0.017937219730941704,0.036036036036036036,1.148005148005148,0.002312533933921857,1.0048195800678932
75,{'Fried Vegetable'},"{'Boiled Rice', 'Water'}",0.03139013452914798,0.484304932735426,0.017937219730941704,0.5714285714285714,1.1798941798941798,0.0027348227392467173,1.2032884902840058
76,"{'Boiled Rice', 'Boiled Egg'}",{'Milk'},0.061285500747384154,0.23019431988041852,0.017937219730941704,0.2926829268292683,1.2714602470700032,0.003829645567866727,1.088345961548374
77,"{'Boiled Rice', 'Fried Vegetable'}",{'Water'},0.03139013452914798,0.4977578475336323,0.017937219730941704,0.5714285714285714,1.1480051480051479,0.002312533933921857,1.171898355754858
78,"{'Water', 'Fried Vegetable'}",{'Boiled Rice'},0.017937219730941704,0.9805680119581465,0.017937219730941704,1.0,1.0198170731707317,0.00034855583931575965,inf
79,{'Boiled Rice'},"{'Milk', 'Boiled Egg'}",0.9805680119581465,0.017937219730941704,0.017937219730941704,0.018292682926829267,1.0198170731707317,0.00034855583931575965,1.000362086733699
